timestamp,skill_excel,skill_r,skill_stat,int214_level,int214_att,std_ready,music_genres,salary,sec,gender,birthday,program
"4/8/2021, 20:28:06",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 3,2,5,4,เพลงเศร้า,30000,Sec B,เพศชาย,6/4/2001,วิทย์-คณิต
"4/8/2021, 20:34:03",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,5,5,"Pop, Musical, Classic",30000,Sec B,เพศชาย,30/4/2002,วิทย์-คณิต
"4/8/2021, 20:43:59",เคยใช้บ้าง,เคยเขียนบ้าง,Level 1,4,4,3,"Pop, R&B",18000,Sec A,เพศชาย,21/1/2001,วิทย์-คณิต
"4/8/2021, 21:44:49",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,3,3,"Pop, R&B, Rap",30000,Sec B,เพศหญิง,21/4/2002,วิทย์-คณิต
"4/8/2021, 21:58:49",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,4,5,5,"Pop, R&B, Classic",20000,Sec A,เพศหญิง,10/7/2001,วิทย์-คณิต
"4/8/2021, 22:08:45",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,3,4,"Pop, Rock, R&B, Rap",30000,Sec B,เพศหญิง,18/10/2001,วิทย์-คณิต
"4/8/2021, 22:12:04",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,4,4,3,"Pop, Rock, R&B, ชอบทุกเเนวเเค่ได้ฟังกับเธอ;_;",30000,Sec A,เพศหญิง,18/2/2002,วิทย์-คณิต
"4/8/2021, 23:14:32",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,3,3,"Pop, Rock, Rap, Classic",20000,Sec B,เพศชาย,6/9/2001,วิทย์-คณิต
"4/8/2021, 23:20:51",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,4,3,"Pop, Rock",30000,Sec A,ไม่ระบุ,29/1/2001,วิทย์-คณิต
"4/8/2021, 23:26:17",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,4,3,"Pop, R&B",30000,Sec A,เพศชาย,21/7/2002,วิทย์-คณิต
"4/8/2021, 23:31:46",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,3,3,"Pop, R&B, Rap",30000,Sec A,เพศชาย,3/7/2544,วิทย์-คณิต
"4/8/2021, 23:45:05",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,3,3,"Pop, Rock, R&B, Rap",25000,Sec A,เพศ LGBTQ+,20/5/2002,ศิลป์-คำนวณ
"5/8/2021, 0:01:57",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,3,4,5,Pop,35000,Sec B,เพศหญิง,29/10/2001,วิทย์-คณิต
"5/8/2021, 0:04:04",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,5,3,3,"R&B, Musical, Classic, Jazz",30000,Sec B,เพศชาย,19/11/2001,วิทย์-คณิต
"5/8/2021, 0:57:41",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,5,5,"Pop, Rock, R&B",80000,Sec B,เพศหญิง,27/9/2001,ศิลป์-คำนวณ
"5/8/2021, 1:33:24",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,4,4,4,Pop,30000,Sec A,เพศหญิง,10/10/2001,วิทย์-คณิต
"5/8/2021, 8:48:37",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,4,3,4,"Pop, Classic",35000,Sec B,เพศชาย,20/12/2001,วิทย์-คณิต
"5/8/2021, 9:08:23",ใช้งานประจำ,ไม่เคยเขียนมาก่อน,Level 3,1,5,5,"Musical, Classic",20000,Sec B,เพศชาย,2/1/2001,วิทย์-คณิต
"5/8/2021, 12:12:18",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,4,4,"Pop, R&B, ลูกทุ่ง",20000,Sec B,เพศหญิง,4/12/2001,วิทย์-คณิต
"5/8/2021, 12:28:56",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,3,3,Pop,25000,Sec B,เพศชาย,15/11/2021,วิทย์-คณิต
"5/8/2021, 12:41:56",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,4,3,"Pop, Kpop",25000,Sec B,เพศหญิง,21/5/2002,วิทย์-คณิต
"5/8/2021, 12:47:20",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,4,2,2,"Pop, Indie",28000,Sec B,เพศหญิง,13/9/2001,วิทย์-คณิต
"5/8/2021, 12:55:26",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,4,3,3,"Pop, k-pop, Indie",27000,Sec B,เพศหญิง,10/1/2544,วิทย์-คณิต
"5/8/2021, 13:42:28",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,3,4,"Pop, R&B, Koop",50000,Sec A,เพศหญิง,12/1/2545,วิทย์-คณิต
"5/8/2021, 16:50:33",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,5,3,2,"Pop, R&B, Rap",30000,Sec A,เพศชาย,4/4/2001,วิทย์-คณิต
"5/8/2021, 17:14:57",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,4,3,3,"Pop, Rock, R&B, Rap",28000,Sec A,เพศชาย,17/7/2001,วิทย์-คณิต
"5/8/2021, 19:32:48",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,3,2,"Pop, R&B, Hip hop, pop rap",50000,Sec B,เพศหญิง,30/12/2000,วิทย์-คณิต
"5/8/2021, 22:44:04",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,5,5,"Pop, ลูกทุ่ง",35000,Sec A,เพศหญิง,31/5/2001,วิทย์-คณิต
"6/8/2021, 0:28:14",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,3,4,R&B,20000,Sec B,เพศชาย,5/11/2545,วิทย์-คณิต
"6/8/2021, 2:28:08",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,5,5,"Pop, Classic, EDM",35000,Sec A,เพศ LGBTQ+,25/11/2001,วิทย์-คณิต
"6/8/2021, 11:41:40",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 3,3,5,5,ญี่ปุ่น การ์ตูน อนิเมะ,60000,Sec B,เพศหญิง,24/9/2021,วิทย์-คณิต
"6/8/2021, 14:01:21",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,4,4,4,"Pop, R&B, Classic",20000,Sec A,เพศหญิง,16/9/2001,วิทย์-คณิต
"6/8/2021, 16:17:43",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,3,4,"Pop, R&B",20000,Sec A,เพศหญิง,5/11/2001,วิทย์-คณิต
"6/8/2021, 20:11:52",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,5,2,3,"Pop, Rock, R&B",25000,Sec B,เพศชาย,30/6/2001,วิทย์-คณิต
"6/8/2021, 21:05:00",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,5,5,3,"Pop, ลูกทุ่ง, Classic, Jazz",40000,Sec A,เพศชาย,5/6/2001,วิทย์-คณิต
"6/8/2021, 21:10:10",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,5,1,"Pop, R&B, Musical",30000,Sec A,เพศหญิง,3/10/2002,ศิลป์-คำนวณ
"6/8/2021, 21:11:46",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,5,2,2,"Pop, R&B, Rap",17000,Sec B,เพศ LGBTQ+,25/12/2001,ศิลป์-คำนวณ
"6/8/2021, 21:16:15",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,4,5,4,ลูกทุ่ง,9000,Sec A,เพศชาย,3/8/2001,วิทย์-คณิต
"6/8/2021, 22:41:15",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,2,3,"Pop, R&B, Rap",18000,Sec A,เพศหญิง,31/3/2002,วิทย์-คณิต
"7/8/2021, 0:11:24",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,5,2,3,"Pop, R&B",30000,Sec B,เพศหญิง,2/2/2002,วิทย์-คณิต
"7/8/2021, 0:52:07",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,4,2,"Pop, R&B, Rap, acoustic",35000,Sec A,เพศหญิง,20/11/2001,ศิลป์-คำนวณ
"7/8/2021, 1:03:41",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,4,2,3,"Pop, Rap",40000,Sec A,ไม่ระบุ,17/9/2001,วิทย์-คณิต
"7/8/2021, 1:08:49",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,4,4,"Pop, R&B, ลูกทุ่ง",40000,Sec B,ไม่ระบุ,29/8/2002,วิทย์-คณิต
"7/8/2021, 5:29:36",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,4,4,"Pop, Rock, Musical, Classic",25000,Sec B,เพศชาย,14/2/2002,วิทย์-คณิต
"7/8/2021, 10:49:35",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,5,5,"Pop, Rock, Classic",20000,Sec B,เพศชาย,25/8/2001,ศิลป์-คำนวณ
"7/8/2021, 12:10:45",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,4,3,2,"Pop, Rock, R&B, Rap",20000,Sec A,เพศชาย,31/3/2002,วิทย์-คณิต
"7/8/2021, 13:26:51",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,4,4,"Rock, Classic",50000,Sec A,เพศชาย,27/5/2001,ศิลป์-คำนวณ
"7/8/2021, 21:22:24",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,4,3,3,"Pop, Rock, Musical, hip hop,Electronic",25000,Sec A,เพศหญิง,23/12/2001,วิทย์-คณิต
"7/8/2021, 21:49:11",ใช้งานประจำ,ไม่เคยเขียนมาก่อน,Level 1,2,3,2,"Pop, R&B, Classic, Jazz",200000,Sec B,เพศ LGBTQ+,22/8/2001,วิทย์-คณิต
"7/8/2021, 22:59:24",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,5,4,4,"Pop, R&B, ลูกทุ่ง",30000,Sec B,เพศหญิง,25/5/2545,วิทย์-คณิต
"8/8/2021, 0:49:25",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,5,3,2,"Pop, Rock, Rap, Classic",25000,Sec B,เพศชาย,7/4/2002,วิทย์-คณิต
"8/8/2021, 10:54:29",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,5,5,R&B,30000,Sec B,เพศชาย,14/8/2544,วิทย์-คณิต
"8/8/2021, 11:26:04",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,3,2,"Pop, Rock",20000,Sec A,เพศชาย,15/11/2001,วิทย์-คณิต
"8/8/2021, 11:59:16",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,3,3,Pop,40000,Sec A,เพศชาย,16/11/2001,วิทย์-คณิต
"8/8/2021, 12:35:32",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,4,4,"Pop, Rock",20000,Sec B,เพศชาย,,วิทย์-คณิต
"8/8/2021, 16:30:59",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,3,3,Pop,28000,Sec A,เพศชาย,25/1/2002,ศิลป์-คำนวณ
"8/8/2021, 20:00:38",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,4,4,5,"Pop, R&B",25000,Sec B,เพศ LGBTQ+,12/3/2001,วิทย์-คณิต
"8/8/2021, 20:13:32",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,3,3,2,"Pop, R&B",30000,Sec A,เพศชาย,7/6/2001,วิทย์-คณิต
"8/8/2021, 20:14:11",ใช้งานประจำ,ไม่เคยเขียนมาก่อน,Level 2,3,3,4,"Pop, Rock, Classic, Alternative / Indie",25000,Sec B,เพศชาย,4/11/2002,วิทย์-คณิต
"8/8/2021, 20:21:25",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,4,4,"Pop, R&B, Jazz",20000,Sec A,เพศหญิง,8/5/2002,วิทย์-คณิต
"8/8/2021, 20:22:50",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,3,1,"Musical, Classic, Jazz",20000,Sec B,เพศชาย,11/3/2002,วิทย์-คณิต
"8/8/2021, 20:32:08",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,4,3,4,"Pop, R&B, Classic",30000,Sec B,เพศหญิง,15/8/2001,วิทย์-คณิต
"8/8/2021, 20:42:07",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,5,3,2,"Pop, R&B",20000,Sec A,เพศชาย,17/10/2001,วิทย์-คณิต
"8/8/2021, 20:42:17",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,4,1,1,Pop,30000,Sec A,เพศหญิง,8/2/2002,ศิลป์-คำนวณ
"8/8/2021, 20:56:18",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,5,5,"Pop, R&B, ลูกทุ่ง, Rap",200000,Sec A,เพศชาย,24/9/2001,วิทย์-คณิต
"8/8/2021, 20:58:09",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,4,5,5,"Pop, Rock, Rap",50000,Sec B,เพศชาย,12/9/2001,วิทย์-คณิต
"8/8/2021, 21:58:34",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,4,4,2,"Pop, Rock, R&B, pop rock,Electronic,groove,jazz",30000,Sec A,ไม่ระบุ,31/5/2001,วิทย์-คณิต
"8/8/2021, 22:21:49",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,3,3,5,"R&B, Rap",20000,Sec B,เพศหญิง,30/10/2001,วิทย์-คณิต
"8/8/2021, 23:30:55",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,5,4,4,"Pop, R&B, Rap, Jazz",35000,Sec A,เพศชาย,30/3/2002,ศิลป์-คำนวณ
"8/8/2021, 23:46:26",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,5,4,"Pop, Rock, R&B, Rap",30000,Sec A,เพศชาย,25/5/2001,วิทย์-คณิต
"9/8/2021, 2:09:59",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,3,3,3,"R&B, Rap",50000,Sec A,เพศหญิง,18/10/2544,วิทย์-คณิต
"9/8/2021, 4:30:45",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,3,4,5,"Pop, Rock, Classic, Jazz",20000,Sec A,เพศชาย,22/10/2001,วิทย์-คณิต
"9/8/2021, 9:06:42",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,3,4,"R&B, Rap",20000,Sec A,เพศชาย,9/6/2002,ศิลป์-คำนวณ
"9/8/2021, 10:30:04",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,5,4,2,"Pop, R&B, Rap",60000,Sec A,เพศหญิง,13/6/2001,วิทย์-คณิต
"9/8/2021, 10:30:40",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,4,3,"Pop, R&B, Rap",30000,Sec A,เพศหญิง,17/6/2001,วิทย์-คณิต
"9/8/2021, 10:39:57",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,4,3,3,Pop,50000,Sec B,เพศชาย,28/11/2001,สหศิลป์
"9/8/2021, 10:41:15",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,3,3,3,"Pop, R&B, Rap",100000,Sec A,เพศชาย,18/2/2002,ศิลป์-คำนวณ
"9/8/2021, 10:46:33",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,5,3,3,Pop,30000,Sec A,เพศหญิง,9/10/2544,วิทย์-คณิต
"9/8/2021, 10:47:34",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,4,3,3,"Pop, Musical, Classic, Jazz",35000,Sec B,เพศหญิง,18/10/2001,วิทย์-คณิต
"9/8/2021, 10:53:08",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,4,3,2,,60000,Sec B,เพศชาย,5/11/2000,วิทย์-คณิต
"9/8/2021, 10:54:31",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,4,3,"Pop, Musical",30000,Sec B,เพศชาย,23/5/2002,วิทย์-คณิต
"9/8/2021, 11:02:55",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,4,4,Pop,40000,Sec A,ไม่ระบุ,26/5/2001,วิทย์-คณิต
"9/8/2021, 11:11:01",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,2,4,Pop,20000,Sec A,เพศชาย,15/6/2002,วิทย์-คณิต
"9/8/2021, 11:40:51",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,5,5,5,"Pop, Rap, Classic",100000,Sec B,เพศชาย,6/6/1998,วิทย์-คณิต
"9/8/2021, 12:19:24",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,5,3,1,"Pop, R&B, ลูกทุ่ง, Rap",25000,Sec A,เพศหญิง,19/1/2002,ศิลป์-คำนวณ
"9/8/2021, 12:26:50",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,5,3,2,"Pop, Rock, R&B, Jazz",30000,Sec A,เพศชาย,18/9/2001,ศิลป์-คำนวณ
"9/8/2021, 12:57:17",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,4,3,"Pop, R&B, Classic, Jazz",30000,Sec A,เพศชาย,18/8/2001,วิทย์-คณิต
"9/8/2021, 12:58:48",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,5,3,3,"Pop, R&B, Rap",50000,Sec A,เพศชาย,7/11/2001,วิทย์-คณิต
"9/8/2021, 12:58:51",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,1,5,5,Classic,100000,Sec A,เพศชาย,1/8/2001,วิทย์-คณิต
"9/8/2021, 12:59:55",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,4,3,3,"Pop, R&B, Rap",20000,Sec A,เพศชาย,5/10/2001,วิทย์-คณิต
"9/8/2021, 13:03:47",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,5,3,"Pop, R&B, Musical",50000,Sec A,เพศชาย,8/1/2002,วิทย์-คณิต
"9/8/2021, 13:08:12",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,3,4,4,"Pop, Rap, Musical",35000,Sec A,เพศชาย,4/4/2002,วิทย์-คณิต
"9/8/2021, 13:09:46",เคยใช้บ้าง,เคยเขียนบ้าง,Level 2,3,4,4,"R&B, Rap",40000,Sec A,เพศชาย,31/8/2001,วิทย์-คณิต
"9/8/2021, 13:11:08",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,3,3,"Pop, Classic, Jazz, Anime Song",35000,Sec A,เพศชาย,5/1/2002,วิทย์-คณิต
"9/8/2021, 13:22:21",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,5,3,3,"Pop, R&B, Rap, Classic",30000,Sec A,เพศชาย,25/9/2001,ศิลป์-คำนวณ
"9/8/2021, 13:26:13",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,2,3,4,R&B,70000,Sec A,เพศชาย,18/10/2001,ศิลป์-คำนวณ
"9/8/2021, 13:27:14",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,4,3,Rock,30000,Sec B,เพศชาย,28/2/2002,วิทย์-คณิต
"9/8/2021, 13:28:15",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,4,3,"Pop, R&B, Rap, Classic",30000,Sec A,เพศชาย,18/12/2544,ศิลป์-คำนวณ
"9/8/2021, 13:28:25",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,3,3,3,Classic,100000,Sec A,เพศชาย,7/8/2001,ศิลป์-คำนวณ
"9/8/2021, 16:37:08",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,3,3,Pop,30000,Sec A,เพศชาย,16/7/2001,วิทย์-คณิต
"11/8/2021, 9:34:03",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,5,4,4,"Pop, R&B, ลูกทุ่ง",30000,Sec B,เพศหญิง,25/5/2545,วิทย์-คณิต
"12/8/2021, 20:47:54",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,4,4,"Rock, R&B",30000,Sec B,เพศชาย,26/1/2002,วิทย์-คณิต
"12/8/2021, 23:54:23",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,2,2,2,Pop,22000,Sec B,เพศชาย,19/3/2002,วิทย์-คณิต
"13/8/2021, 1:48:18",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,3,3,5,"Pop, R&B, Classic, Jazz",10000000,Sec B,เพศชาย,11/1/2000,วิทย์-คณิต
"13/8/2021, 1:54:40",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 0,5,3,5,"Pop, Rock, R&B, Rap",50000,Sec B,เพศชาย,4/12/2001,วิทย์-คณิต
"13/8/2021, 4:21:51",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,3,3,"Pop, Musical, Classic",30000,Sec B,เพศชาย,9/5/2002,วิทย์-คณิต
"13/8/2021, 11:19:34",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,4,4,"Pop, Rap, folk",100000,Sec B,เพศชาย,3/12/2001,วิทย์-คณิต
"13/8/2021, 11:19:58",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,5,2,2,"R&B, Rap",26000,Sec B,เพศหญิง,24/9/2544,ศิลป์-คำนวณ
"13/8/2021, 11:20:08",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 1,4,4,3,"Rock, แนวเก่าๆ",19000,Sec B,เพศชาย,21/8/2001,วิทย์-คณิต
"13/8/2021, 11:20:13",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,4,4,ระบุแนวไม่ได้คับแล้วแต่moodช่วงนั้น ๆ เพราะเปลี่ยนแนวไปเรื่อยๆตลอด,25000,Sec B,เพศชาย,5/11/2002,วิทย์-คณิต
"13/8/2021, 11:20:18",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,4,3,"Pop, Rock",30000,Sec B,เพศชาย,20/6/2001,วิทย์-คณิต
"13/8/2021, 11:20:20",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,4,5,4,Pop,20000,Sec B,เพศชาย,29/7/2002,วิทย์-คณิต
"13/8/2021, 11:21:56",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,5,4,3,"Pop, R&B",18000,Sec B,เพศหญิง,21/6/2001,วิทย์-คณิต
"13/8/2021, 11:23:27",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,3,4,"Pop, R&B",25000,Sec B,เพศชาย,13/5/2002,วิทย์-คณิต
"13/8/2021, 11:24:34",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 2,3,3,4,"Pop, R&B, Rap, Jazz",35000,Sec B,เพศชาย,30/10/2001,วิทย์-คณิต
"13/8/2021, 11:24:49",ไม่เคยใช้งานมาก่อน,ไม่เคยเขียนมาก่อน,Level 0,5,2,2,"Pop, Rock, R&B, Rap",60000,Sec B,เพศหญิง,15/6/2001,วิทย์-คณิต
"13/8/2021, 11:28:53",เคยใช้บ้าง,ไม่เคยเขียนมาก่อน,Level 1,3,3,4,,18000,Sec B,เพศชาย,23/6/2001,วิทย์-คณิต
