Rating,Reviews,Book_title,Description,Number_Of_Pages,Type,Price
3.87,593,"The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything","A new product, a new service, a new company, a new division, a new organization, a new anything—where there’s a will, here’s the way. It begins with a dream that just won’t quit, the once-in-a-lifetime thunderbolt of pure inspiration, the obsession, the world-beater, the killer app, the next big thing. Everyone who wants to make the world a better place becomes possessed b

...more",240,Hardcover,15.88529412
3.95,417,Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground,"The true story of Max Butler, the master hacker who ran a billion dollar cyber crime network.

The word spread through the hacking underground like some unstoppable new virus: an audacious crook had staged a hostile takeover of an online criminal network that siphoned billions of dollars from the US economy.

The culprit was a brilliant programmer with a hippie ethic and a sup





...more",288,Hardcover,16.07352941
3.85,80,The Quark and the Jaguar: Adventures in the Simple and the Complex,"From one of the architects of the new science of simplicity and complexity comes an explanation of the connections between nature at its most basic level and natural selection, archaeology, linguistics, child development, computers, and other complex adaptive systems. Nobel laureate Murray Gell-Mann offers a uniquely personal and unifying vision of the relationship between ...more",392,Paperback,16.36764706
3.94,279,"Linked: How Everything Is Connected to Everything Else and What It Means for Business, Science, and Everyday Life","A cocktail party? A terrorist cell? Ancient bacteria? An international conglomerate?

All are networks, and all are a part of a surprising scientific revolution. Albert-László Barabási, the nation’s foremost expert in the new science of networks and author of Bursts, takes us on an intellectual adventure to prove that social networks, corporations, and living organisms are m



...more",304,Paperback,16.85294118
3.75,370,Our Final Invention: Artificial Intelligence and the End of the Human Era,"In as little as a decade, artificial intelligence could match, then surpass human intelligence. Corporations & government agencies around the world are pouring billions into achieving AI’s Holy Grail—human-level intelligence. Once AI has attained it, scientists argue, it will have survival drives much like our own. We may be forced to compete with a rival more cunning, mor ...more",336,Hardcover,16.89117647
4.1,"2,092","The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution","The computer and the internet are among the most important innovations of our era, but few people know who created them. They were not conjured up in a garret or garage by solo inventors suitable to be singled out on magazine covers or put into a pantheon with Edison, Bell, and Morse. Instead, most of the innovations of the digital age were done collaboratively. There were ...more",542,Hardcover,17.22941176
4.22,27,Debugging: The 9 Indispensable Rules for Finding Even the Most Elusive Software and Hardware Problems,"When the pressure is on to root out an elusive software or hardware glitch, what’s needed is a cool head courtesy of a set of rules guaranteed to work on any system, in any circumstance. Written in a frank but engaging style, Debuggingprovides simple, foolproof principles guaranteed to help find any bug quickly. This book makes those shelves of application-specific debuggi ...more",192,Paperback,17.49117647
3.71,676,"Big Data: A Revolution That Will Transform How We Live, Work, and Think","A revelatory exploration of the hottest trend in technology and the dramatic impact it will have on the economy, science, and society at large.

Which paint color is most likely to tell you that a used car is in good shape? How can officials identify the most dangerous New York City manholes before they explode? And how did Google searches predict the spread of the H1N1 flu










...more",242,Hardcover,17.62058824
4.21,16,Help Your Kids with Computer Coding,"Take your kids from browsing to building the web with the latest in DK's award-winning Help Your Kids series: ""Help Your Kids With Computer Coding."" Computer programming is one of the fastest-growing industries and highest paid college degrees, and learning to code promotes a way of thinking helpful for every budding brain. Yet 9 out of 10 schools don't even offer computer ...more",224,Paperback,18.93823529
4.28,"1,268",The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,"In his first book since the bestselling Fermat’s Enigma, Simon Singh offers the first sweeping history of encryption, tracing its evolution and revealing the dramatic effects codes have had on wars, nations, and individual lives. From Mary, Queen of Scots, trapped by her own code, to the Navajo Code Talkers who helped the Allies win World War II, to the incredible (and inc

...more",412,Paperback,19.13235294
3.2,0,Game Programming Golden Rules,"'Game Programming Golden Rules' provides indispensable techniques that should be part of every game programmer's arsenal. Written as a series of easy-to-remember rules, the book provides a building block approach in which each new rule builds upon the previous one.",318,Paperback,19.15294118
3.67,19,The Architecture of Open Source Applications,"Architects look at thousands of buildings during their training, and study critiques of those buildings written by masters. In contrast, most software developers only ever get to know a handful of large programs well—usually programs they wrote themselves—and never study the great programs of history. As a result, they repeat one another's mistakes rather than building on



...more",432,Paperback,19.24705882
3.97,491,How to Create a Mind: The Secret of Human Thought Revealed,"The bold futurist and bestselling author explores the limitless potential of reverse-engineering the human brain

Ray Kurzweil is arguably today’s most influential—and often controversial—futurist. In How to Create a Mind, Kurzweil presents a provocative exploration of the most important project in human-machine civilization—reverse engineering the brain to understand precis





...more",336,Hardcover,19.85588235
3.98,48,The Hidden Connections: A Science for Sustainable Living,"Fritjof Capra, bestselling author of The Tao of Physics and The Web of Life, here explores another frontier in the human significance of scientific ideas—applying complexity theory to large-scale social interaction.

In the 1980s, complexity theory emerged as a powerful alternative to classic, linear thought. A forerunner of that revolution, Fritjof Capra now continues to e

...more",320,Paperback,20.05294118
3.96,1,Computability and Unsolvability,"Classic text considers general theory of computability, computable functions, operations on computable functions, Turing machines self-applied, unsolvable decision problems, applications of general theory, mathematical logic, Kleene hierarchy, computable functionals, classification of unsolvable decision problems and more.",288,Paperback,20.4
4.37,1,Adventures in Minecraft,"Here's your ticket to a world of adventures with Minecraft and programming.

Learn how to extend Minecraft and create a new gaming experience, by exploring the magical world of Minecraft programming. Adventures in Minecraft, like other books in the highly successful Adventures series, is written especially for 11- to 15-year-olds. With this book you will learn new programmin










...more",320,Paperback,21.03823529
4.25,16,Coding Games in Scratch,"Did you know that Bill Gates, cofounder of Microsoft, wrote his first computer program-a tic-tac-toe game-at age 13? Coding Games in Scratch shows how kids can start coding their own games, too, using Scratch, a popular free programming language.

With Coding Games in Scratch, kids can build single and multiplayer platform games, create puzzles and memory games, race through















...more",224,Paperback,21.08823529
4.32,39,Expert C Programming: Deep C Secrets,"Written for experienced C programmers who want to quickly pick up some of the insights and techniques of experts and master the fine arts of ANSI C, this volume passes on the wisdom of a highly experienced C compiler writer and his colleagues to help programmers reach new heights, and avoid common software pitfalls along the way. Using an original approach and a humorous ...more",384,Paperback,21.09705882
4.01,356,Data and Goliath: The Hidden Battles to Collect Your Data and Control Your World,"Your cell phone provider tracks your location and knows who’s with you. Your online and in-store purchasing patterns are recorded, and reveal if you're unemployed, sick, or pregnant. Your e-mails and texts expose your intimate and casual friends. Google knows what you’re thinking because it saves your private searches. Facebook can determine your sexual orientation without



...more",448,Paperback,21.12647059
4.13,86,The Cosmic Landscape: String Theory and the Illusion of Intelligent Design,"In his first book ever, the father of string theory reinvents the world's concept of the known universe and man's unique place within it. Line drawings.",416,Hardcover,21.81470588
4.15,295,What Is Life? with Mind and Matter and Autobiographical Sketches,"What Is Life? is a 1944 non-fiction science book written for the lay reader by physicist Erwin Schrödinger. The book was based on a course of public lectures delivered by Schrödinger in February 1943 at Trinity College, Dublin. Schrödinger's lecture focused on one important question: ""how can the events in space and time which take place within the spatial boundary of a li ...more",184,Paperback,21.92352941
3.91,57,Six Degrees: The Science of a Connected Age,"In this remarkable book, Duncan Watts, one of the principal architects of network theory, sets out to explain the innovative research that he and other scientists are spearheading to create a blueprint of our connected planet. Whether they bind computers, economies, or terrorist organizations, networks are everywhere in the real world, yet only recently have scientists att


...more",384,Paperback,21.96764706
3.86,124,Nine Algorithms That Changed the Future: The Ingenious Ideas That Drive Today's Computers,"Every day, we use our computers to perform remarkable feats. A simple web search picks out a handful of relevant needles from the world's biggest haystack: the billions of pages on the World Wide Web. Uploading a photo to Facebook transmits millions of pieces of information over numerous error-prone network links, yet somehow a perfect copy of the photo arrives intact. Wit





...more",219,Hardcover,22.40882353
4.03,91,The Society of Mind,"Marvin Minsky -- one of the fathers of computer science and cofounder of the Artificial Intelligence Laboratory at MIT -- gives a revolutionary answer to the age-old question: ""How does the mind work?""
Minsky brilliantly portrays the mind as a ""society"" of tiny components that are themselves mindless. Mirroring his theory, Minsky boldly casts The Society of Mind as an int
...more",336,Paperback,22.52058824
4.23,530,JavaScript: The Good Parts,"Most programming languages contain good and bad parts, but JavaScript has more than its share of the bad, having been developed and released in a hurry before it could be refined. This authoritative book scrapes away these bad features to reveal a subset of JavaScript that's more reliable, readable, and maintainable than the language as a whole--a subset you can use to cre

















...more",153,Paperback,22.69411765
4.04,61,The Pattern on the Stone: The Simple Ideas that Make Computers Work,"Most people are baffled by how computers work and assume that they will never understand them. What they don't realize—and what Daniel Hillis's short book brilliantly demonstrates—is that computers' seemingly complex operations can be broken down into a few simple parts that perform the same simple procedures over and over again.

Computer wizard Hillis offers an easy-to-fol





...more",176,Paperback,22.82647059
4.09,336,Accelerate: Building and Scaling High-Performing Technology Organizations,"Does technology actually matter? And how can we apply technology to drive business value? For years, we've been told that the performance of software delivery teams doesn't matter—that it can't provide a competitive advantage to our companies. Through four years of groundbreaking research, Dr. Nicole Forsgren, Jez Humble, and Gene Kim set out to find a way to measure softw ...more",257,Paperback,23.05
4.33,0,Beginners Guide On PHP Programming: Quick And Easy Guide To Learn PHP With My-SQL,"The Book - Beginners Guide On PHP Programming is written by James P. Long. This book includes all the basics of PHP, functions, classes, objects, databases used in PHP programming. With this book you can learn professional PHP style, best practices, MY-SQL databases, HTML Forms, PHP graphics and good programming habits. You can become a good PHP programmer by going through






















...more",410,Paperback,23.22647059
4.09,4,The Connection Machine,"The Connection Machine describes a fundamentally different kind of computer. It offers a preview of a parallel processing computer that Daniel Hillis and others are now developing to perform tasks that no conventional, sequential machine can solve in a reasonable time.",190,Hardcover,23.23529412
3.93,115,Agile Retrospectives: Making Good Teams Great,"See how to mine the experience of your software development team continually throughout the life of the project. The tools and recipes in this book will help you uncover and solve hidden (and not-so-hidden) problems with your technology, your methodology, and those difficult ""people"" issues on your team.

Project retrospectives help teams examine what went right and what wen




























...more",170,Paperback,23.85
4,0,Python Programming Books Set: Python Programming for Beginners & Complete Guide for Python Programming,"Quick & Easy Guide to Python Programming For Beginners These Books Set is for those who are interested in learning Python programming language. The book ""Python Programming For Beginners"" and ""Complete Guide For Python Programming"" are Quick and Easy Guide for Programmers to learn python programming Language. These books include all the basics of python, data structures, o ...more",446,Paperback,23.85882353
4.27,"2,629","The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win","Bill is an IT manager at Parts Unlimited. It's Tuesday morning and on his drive into the office, Bill gets a call from the CEO.

The company's new IT initiative, code named Phoenix Project, is critical to the future of Parts Unlimited, but the project is massively over budget and very late. The CEO wants Bill to report directly to him and fix the mess in ninety days or else





...more",345,Hardcover,24.25882353
3.84,108,Agile Web Development with Rails: A Pragmatic Guide,"Rails is a full-stack, open source web framework that enables you to create full-featured, sophisticated web-based applications, but with a twist... A full Rails application probably has less total code than the XML you'd need to configure the same application in other frameworks. With this book you'll learn how to use ""ActiveRecord"" to connect business objects and databas ...more",558,Paperback,24.51470588
4.2,120,Scrum and XP from the Trenches,"This book aims to give you a head start by providing a detailed down-to-earth account of how one Swedish company implemented Scrum and XP with a team of approximately 40 people and how they continuously improved their process over a year's time. Under the leadership of Henrik Kniberg they experimented with different team sizes, different sprint lengths, different ways of d ...more",140,Paperback,24.72352941
4.06,38,A Smarter Way to Learn JavaScript: The new approach that uses technology to cut your effort in half,"Learn JavaScript with half the effort, aided by technology. Master each chapter with free interactive exercises online. Live simulation lets you see your practice code run in your browser. 2,000 lines of color-keyed sample code break it all down into easy-to-learn chunks. Extra help through the rough spots so you're less likely to get stuck. Tested on
...more",343,Kindle Edition,24.83235294
3.65,154,97 Things Every Programmer Should Know: Collective Wisdom from the Experts,"Tap into the wisdom of experts to learn what every programmer should know, no matter what language you use. With the 97 short and extremely useful tips for programmers in this book, you'll expand your skills by adopting new approaches to old problems, learning appropriate best practices, and honing your craft through sound advice.

With contributions from some of the most ex












...more",258,Paperback,25.28235294
4.08,9,Introduction to Functional Programming,"After the success of the first edition, Introduction to Functional Programming using Haskell has been thoroughly updated and revised to provide a complete grounding in the principles and techniques of programming with functions. The second edition uses the popular language Haskell to express functional programs. There are new chapters on program optimisation, abstract data ...more",293,Hardcover,25.30294118
4.15,19,An Introduction to Functional Programming Through Lambda Calculus,"Functional programming is rooted in lambda calculus, which constitutes the worlds smallest programming language. This well-respected text offers an accessible introduction to functional programming concepts and techniques for students of mathematics and computer science. The treatment is as nontechnical as possible, and it assumes no prior knowledge of mathematics or funct ...more",336,Paperback,25.30294118
4.01,"1,035",Chaos: Making a New Science,"A work of popular science in the tradition of Stephen Hawking and Carl Sagan, this 20th-anniversary edition of James Gleick’s groundbreaking bestseller Chaos introduces a whole new readership to chaos theory, one of the most significant waves of scientific knowledge in our time. From Edward Lorenz’s discovery of the Butterfly Effect, to Mitchell Feigenbaum’s calculation of ...more",352,Paperback,25.70294118
4.06,302,"The Strangest Man: The Hidden Life of Paul Dirac, Mystic of the Atom","'A monumental achievement - one of the great scientific biographies.' Michael Frayn

The Strangest Man is the Costa Biography Award-winning account of Paul Dirac, the famous physicist sometimes called the British Einstein. He was one of the leading pioneers of the greatest revolution in twentieth-century science: quantum mechanics. The youngest theoretician ever to win the N







...more",539,Hardcover,25.82352941
5,0,Your First App: Node.js,"A tutorial for real-world application development using Node.js, AngularJS, Express and MongoDB

Published via Leanpub, and can be found here: https://leanpub.com/yfa-nodejs

In this book, you will learn the basics of designing and developing a node.js application. Unlike other books, focus here is on learning multiple technologies at once and defining processes for success. T



...more",317,ebook,25.85588235
4.12,116,Apprenticeship Patterns: Guidance for the Aspiring Software Craftsman,"Are you doing all you can to further your career as a software developer? With today's rapidly changing and ever-expanding technologies, being successful requires more than technical expertise. To grow professionally, you also need soft skills and effective learning techniques. Honing those skills is what this book is all about. Authors Dave Hoover and Adewale Oshineye hav












...more",176,Paperback,26.00882353
4.35,126,"Python Crash Course: A Hands-On, Project-Based Introduction to Programming","Python Crash Course is a fast-paced, thorough introduction to programming with Python that will have you writing programs, solving problems, and making things that work in no time.

In the first half of the book, you'll learn about basic programming concepts, such as lists, dictionaries, classes, and loops, and practice writing clean and readable code with exercises for each















...more",560,Paperback,26.34411765
4.11,17,"Invent Your Own Computer Games with Python, 3rd Edition","Invent Your Own Computer Games with Python teaches you how to program in the Python. Each chapter gives you the complete source code for a new game, and then teaches the programming concepts from the example. The programs covered include Hangman, Tic Tac Toe, Reversi, Caesar Cipher, Guess the Number, and Dragon Realm. Later chapters cover how to make 2D graphical games usi ...more",370,Paperback,26.91764706
4.35,58,The Principles of Object-Oriented JavaScript,"If you've used a more traditional object-oriented language, such as C++ or Java, JavaScript probably doesn't seem object-oriented at all. It has no concept of classes, and you don't even need to define any objects in order to write code. But don't be fooled—JavaScript is an incredibly powerful and expressive object-oriented language that puts many design decisions right in






...more",120,Kindle Edition,27.24411765
4.11,130,Joel on Software,"Someone once said that the task of a writer is to ""make the familiar new and the new familiar"". For years, Joel Spolsky has done exactly this at www.joelonsoftware.com. Now, for the first time, you can own a collection of the most important essays from his site in one book, with exclusive commentary and new insights from joel. ...more",384,Paperback,27.42941176
3.32,3,Sams Teach Yourself JavaScript in 24 Hours,"JavaScript is one of the easiest, most straightforward ways to enhance a website with interactivity. Sams Teach Yourself JavaScript in 24 Hours, 4th Editionnbsp;serves as an easy-to-understand tutorial on both scripting basics and JavaScript itself. The book is written in a clear and personable style with an extensive use of practical, complete examples.nbsp;It also includ ...more",442,Paperback,27.85
4,50,The Shape of Inner Space: String Theory and the Geometry of the Universe's Hidden Dimensions,"String theory says we live in a ten-dimensional universe, but that only four are accessible to our everyday senses. According to theorists, the missing six are curled up in bizarre structures known as Calabi-Yau manifolds. In The Shape of Inner Space, Shing-Tung Yau, the man who mathematically proved that these manifolds exist, argues that not only is geometry fundamental
...more",377,Hardcover,27.94117647
3.97,78,Seven Languages in Seven Weeks,"You should learn a programming language every year, as recommended by The Pragmatic Programmer. But if one per year is good, how about Seven Languages in Seven Weeks? In this book you'll get a hands-on tour of Clojure, Haskell, Io, Prolog, Scala, Erlang, and Ruby. Whether or not your favorite language is on that list, you'll broaden your perspective of programming by exami









...more",328,Paperback,27.94117647
4.28,3,Quality Software Management V 1 – Systems Thinking,"In this first volume of the Quality Software Management series, Gerald M. Weinberg tackles the first requirement for developing quality software: learning to think correctly -- about problems, solutions, and quality itself.
Guidelines on management are introduced to stimulate the kind of thinking needed.",336,Hardcover,28.46470588
3.91,0,Python Programming For Beginners: Quick And Easy Guide For Python Programmers,"Quick & Easy Guide on Python Programming For Beginners

The Book ""Python Programming For Beginners"" is a Quick and Easy Guide for Python Programmers to learn python programming. This book includes all the basics of python, data structures, operators, control statements, functions, classes, strings, etc which are used in python. You can also learn about python modules, va



















...more",190,Paperback,29.02058824
3.68,22,Manage Your Project Portfolio,"All of your projects and programs make up your portfolio. But how much time you actually spend on your projects, and how much time do you spend responding to emergencies?

This book will introduce you to different ways of ordering all of the projects you are working on now, and help you figure out how to staff those projects--even when you've run out of project teams to do







...more",250,Paperback,29.21176471
3.78,71,How Google Tests Software,"Google faces the world's largest, toughest software testing challenges: To get it right, Google is pioneering the future of testing and automation. You also need to get it right. Learn from Google. In How Google Tests Software, legendary Google testing leader James Whittaker and two top Google experts reveal powerful lessons Google has learned about testing software at un ...more",281,Paperback,29.83529412
4.4,547,Code: The Hidden Language of Computer Hardware and Software,"What do flashlights, the British invasion, black cats, and seesaws have to do with computers? In CODE, they show us the ingenious ways we manipulate language and invent new means of communicating with each other. And through CODE, we see how this ingenuity and our very human compulsion to communicate have driven the technological innovations of the past two centuries.

Usin



...more",400,Paperback,30.49117647
4.04,11,Computability and Logic,"Computability and Logic has become a classic because of its accessibility to students without a mathematical background and because it covers not simply the staple topics of an intermediate logic course, such as Godel's incompleteness theorems, but also a large number of optional topics, from Turing's theory of computability to Ramsey's theorem. Including a selection of ex ...more",350,Paperback,31.01176471
4.15,203,Eloquent JavaScript: A Modern Introduction to Programming,"""A concise and balanced mix of principles and pragmatics. I loved the tutorial-style game-like program development. This book rekindled my earliest joys of programming. Plus, JavaScript!"" —Brendan Eich, creator of JavaScript

JavaScript is the language of the Web, and it's at the heart of every modern website from the lowliest personal blog to the mighty Google Apps. Though








...more",224,Paperback,31.02058824
4.02,58,Does God Play Dice?: The New Mathematics of Chaos,"The revised and updated edition includes three completely new chapters on the prediction and control of chaotic systems. It also incorporates new information regarding the solar system and an account of complexity theory. This witty, lucid and engaging book makes the complex mathematics of chaos accessible and entertaining. Presents complex mathematics in an accessible sty ...more",416,Paperback,31.22647059
3.76,1,Learn Java the Easy Way : A Hands-On Introduction to Programming,"Java is the world’s most popular programming language, but it’s known for having a steep learning curve. The editors at No Starch Press have worked to lower that learning curve with Bryson Payne’s latest book, Learn Java the Easy Way. Finally, a hands-on introduction to learning Java programming that will take you from absolute beginner to building Android and desktop apps













...more",312,Kindle Edition,31.48235294
4.15,17,Make Your Own Neural Network: An In-depth Visual Introduction For Beginners,"A step-by-step visual journey through the mathematics of neural networks, and making your own using Python and Tensorflow.",316,Kindle Edition,31.74705882
3.6,58,"The Golden Ticket: P, Np, and the Search for the Impossible","The computer science problem whose solution could transform life as we know it

The P-NP problem is the most important open problem in computer science, if not all of mathematics. Simply stated, it asks whether every problem whose solution can be quickly checked by computer can also be quickly solved by computer. The Golden Ticket provides a nontechnical introduction to P-NP



...more",176,Hardcover,32.84705882
4.16,259,Pro Git,"Git is the version control system developed by Linus Torvalds for Linux kernel development. It took the open source world by storm since its inception in 2005, and is used by small development shops and giants like Google, Red Hat, and IBM, and of course many open source projects.

A book by Git experts to turn you into a Git expert. Introduces the world of distributed versi

...more",290,Paperback,33.05882353
4.27,153,Automate the Boring Stuff with Python: Practical Programming for Total Beginners,"If you've ever spent hours renaming files or updating hundreds of spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you?

In ""Automate the Boring Stuff with Python,"" you'll learn how to use Python to write programs that do in minutes what would take you hours to do by hand no prior programming experience req





...more",479,Paperback,33.05882353
4.05,2,Best of Game Programming Gems,"Welcome to a collection of the most valuable and timeless articles from the essential reference series for game developers. ""Best of Game Programming Gems"" combines the greatest cutting-edge, ready-to-use techniques contributed by industry experts to volumes 1-6 of the Game Programming Gems series. Each article was carefully chosen by the editors and compiled into one best ...more",576,Hardcover,33.54411765
3.68,5,Sams Teach Yourself MySQL in 24 Hours,"Sams Teach Yourself MySQL in 24 Hours teaches the reader everything from basic installation to using MySQL in Web application development. First, the basic concepts of database design are taught, and then the reader jumps right into planning and creating a database. The book then walks the reader through all the basics of using MySQL - working with tables and data, using M ...more",368,Paperback,34.14117647
4.16,33,Algorithms Unlocked,"For anyone who has ever wondered how computers solve problems, an engagingly written guide for nonexperts to the basics of computer algorithms.",237,ebook,34.35588235
4.34,11,Practical SQL: A Beginner's Guide to Storytelling with Data,"Practical SQL is an approachable and fast-paced guide to SQL (Structured Query Language), the standard programming language for defining, organizing, and exploring data in relational databases. The book focuses on using SQL to find the story your data tells, with the popular open-source database PostgreSQL and the pgAdmin interface as its primary tools.

You'll first cover t















...more",392,Paperback,34.42941176
4.11,73,CSS: The Missing Manual,"Cascading Style Sheets can turn humdrum websites into highly-functional, professional-looking destinations, but many designers merely treat CSS as window-dressing to spruce up their site's appearance. You can tap into the real power of this tool with CSS: The Missing Manual. This second edition combines crystal-clear explanations, real-world examples, and dozens of step-by









...more",560,Paperback,35.10294118
4.39,3,Blueprints Visual Scripting for Unreal Engine,"Blueprints Visual Scripting for Unreal Engine is a step-by-step approach to building a fully functional game, one system at a time. Starting with a basic First Person Shooter template, each chapter will extend the prototype to create an increasingly complex and robust game experience. You will progress from creating basic shooting mechanics to gradually more complex system



...more",188,Paperback,35.19117647
3.88,279,Soft Skills: The Software Developer's Life Manual,"Soft Skills: The software developer's life manual is a unique guide, offering techniques and practices for a more satisfying life as a professional software developer. In it, developer and life coach John Sonmez addresses a wide range of important ""soft"" topics, from career and productivity to personal finance and investing, and even fitness and relationships, all from a d ...more",470,Paperback,35.23529412
3.7,47,Doing Data Science,"Now that people are aware that data can make the difference in an election or a business model, data science as an occupation is gaining ground. But how can you get started working in a wide-ranging, interdisciplinary field that’s so clouded in hype? This insightful book, based on Columbia University’s Introduction to Data Science class, tells you what you need to know.

In
















...more",375,Paperback,35.35882353
3.83,278,Automate This: How Algorithms Came to Rule Our World,"The rousing story of the last gasp of human agency and how today’s best and brightest minds are endeavoring to put an end to it.

It used to be that to diagnose an illness, interpret legal documents, analyze foreign policy, or write a newspaper article you needed a human being with specific skills—and maybe an advanced degree or two. These days, high-level tasks are increas




...more",256,Hardcover,35.84117647
4.11,125,How to Think Like a Computer Scientist: Learning with Python,"Here you'll find a short introduction to Logo as a general purpose programming language, as opposed to its limited educational use with turtle graphics. Logo is a simplified dialect of Lisp and retains much of the power of Lisp. It is thus suitable for such advanced projects such as artificial intelligence programming.",288,Unknown Binding,36.12647059
3.22,2,Beginning Java 2,"What is this book about? The Java language has been growing from strength to strength since its inception in 1995. It has since proved to be both powerful and extraordinarily easy to learn and use. This is what makes it ideal for the beginner. With dramatic changes to the handling of files, and the introduction of native support for XML, Java has been updated to work faste










...more",1200,Paperback,36.61764706
